날짜,지점,강수량(mm)
2021-01-01,100,
2021-01-02,100,
2021-01-03,100,
2021-01-04,100,0
2021-01-05,100,0.1
2021-01-06,100,0.5
2021-01-07,100,1.1
2021-01-08,100,
2021-01-09,100,
2021-01-10,100,
2021-01-11,100,
2021-01-12,100,0
2021-01-13,100,
2021-01-14,100,
2021-01-15,100,0.4
2021-01-16,100,
2021-01-17,100,0
2021-01-18,100,1.2
2021-01-19,100,
2021-01-20,100,
2021-01-21,100,0
2021-01-22,100,0
2021-01-23,100,0.2
2021-01-24,100,0
2021-01-25,100,
2021-01-26,100,0
2021-01-27,100,
2021-01-28,100,2.6
2021-01-29,100,
2021-01-30,100,1.7
2021-01-31,100,
2021-02-01,100,0
2021-02-02,100,
2021-02-03,100,0
2021-02-04,100,0.6
2021-02-05,100,
2021-02-06,100,
2021-02-07,100,
2021-02-08,100,
2021-02-09,100,
2021-02-10,100,
2021-02-11,100,
2021-02-12,100,
2021-02-13,100,
2021-02-14,100,0
2021-02-15,100,0.1
2021-02-16,100,0
2021-02-17,100,
2021-02-18,100,
2021-02-19,100,
2021-02-20,100,
2021-02-21,100,
2021-02-22,100,
2021-02-23,100,
2021-02-24,100,
2021-02-25,100,
2021-02-26,100,0
2021-02-27,100,1.4
2021-02-28,100,0.1
2021-03-01,100,52.8
2021-03-02,100,4.4
2021-03-03,100,
2021-03-04,100,
2021-03-05,100,
2021-03-06,100,2.2
2021-03-07,100,
2021-03-08,100,
2021-03-09,100,
2021-03-10,100,
2021-03-11,100,
2021-03-12,100,10.5
2021-03-13,100,0
2021-03-14,100,
2021-03-15,100,
2021-03-16,100,0.7
2021-03-17,100,
2021-03-18,100,0
2021-03-19,100,
2021-03-20,100,0.5
2021-03-21,100,
2021-03-22,100,
2021-03-23,100,
2021-03-24,100,
2021-03-25,100,
2021-03-26,100,
2021-03-27,100,12.3
2021-03-28,100,2.7
2021-03-29,100,0.1
2021-03-30,100,
2021-03-31,100,
2021-04-01,100,
2021-04-02,100,0
2021-04-03,100,41.6
2021-04-04,100,11.1
2021-04-05,100,
2021-04-06,100,
2021-04-07,100,
2021-04-08,100,0.2
2021-04-09,100,5.1
2021-04-10,100,
2021-04-11,100,
2021-04-12,100,10.7
2021-04-13,100,5.2
2021-04-14,100,
2021-04-15,100,
2021-04-16,100,
2021-04-17,100,0.5
2021-04-18,100,
2021-04-19,100,
2021-04-20,100,
2021-04-21,100,
2021-04-22,100,
2021-04-23,100,
2021-04-24,100,
2021-04-25,100,0.3
2021-04-26,100,
2021-04-27,100,0
2021-04-28,100,
2021-04-29,100,4.8
2021-04-30,100,18.9
2021-05-01,100,16.4
2021-05-02,100,14
2021-05-03,100,
2021-05-04,100,0.4
2021-05-05,100,2.1
2021-05-06,100,
2021-05-07,100,4.7
2021-05-08,100,
2021-05-09,100,
2021-05-10,100,
2021-05-11,100,
2021-05-12,100,
2021-05-13,100,
2021-05-14,100,
2021-05-15,100,4.1
2021-05-16,100,59.9
2021-05-17,100,8.1
2021-05-18,100,
2021-05-19,100,
2021-05-20,100,5.6
2021-05-21,100,2.2
2021-05-22,100,
2021-05-23,100,
2021-05-24,100,
2021-05-25,100,5.3
2021-05-26,100,
2021-05-27,100,1.6
2021-05-28,100,19.5
2021-05-29,100,5.1
2021-05-30,100,0
2021-05-31,100,5
